ID,Crop,Year,Lat,Lon,Plant density,Plantation date,Harvest date,Soil pH_H2O,Soil.pH_SMP7.5,SOM_%,Soil.MIII.Al.ICP_mg.kg,Soil.MIII.P.ICP_mg.kg,Texture,Clay %,Sand %,Soil Series,Manure,P.Source,P.rate_kgP2o5.ha_ctrl,P.rate_kgP2o5.ha_1,P.rate_kgP2o5.ha_2,P.rate_kgP2o5.ha_3,P.rate_kgP2o5.ha_4,Yield_t.ha_ctrl,Yield_t.ha_1,Yield_t.ha_2,Yield_t.ha_3,Yield_t.ha_4,Grain density g.L ctrl,Grain density g.L 1,Grain density g.L 2,Grain density g.L 3,Grain density g.L 4,Grain mositure % ctrl,Grain mositure % 1,Grain mositure % 2,Grain mositure % 3,Grain mositure % 4,MaxLeafLength_cm_ctrl,MaxLeafLength_cm_1,MaxLeafLength_cm_2,MaxLeafLength_cm_3,Growing season (d),pcpCum,pcpIrCum,SDI,AWDR,nbPcp1,nbPcp2,nbPcp5,nbPcp10,IhBR,IhKcBR,etpBRcum,etpKcBRcum,tMean,DDCm,DDCb,nb3po3j,nb4po7j,CTU,cClim,cClimKc,pcpCum_30,pcpIrCum_30,SDI_30,AWDR_30,nbPcp1_30,nbPcp2_30,nbPcp5_30,nbPcp10_30,IhBR_30,IhKcBR_30,etpBRcum_30,etpKcBRcum_30,tMean_30,DDCm_30,DDCb_30,nb3po3j_30,nb4po7j_30,CTU_30
110,Grain,2001,45.62,-73.13,75000,2001-05-03,2001-10-04,5.9,6.9,2.8,790.8,95.8,Loam,21.4,40,Richelieu,none,MAP,0,20,NA,NA,NA,6,6.4,NA,NA,NA,686,687.3,NA,NA,NA,9.5,10.1,NA,NA,NA,58.2,62.1,NA,NA,155,413.39,413.39,0.72789463,300.90436,54,43,26,15,-37.283424,-37.283424,659.13993,659.13993,18.312419,NA,2063.425,41,34,3344.1563,4,4,66.48,66.48,0.61694949,41.014802,10,9,5,2,-47.227183,-47.227183,125.97395,125.97395,15.2025,NA,306.075,7,6,504.50472
111,Grain,2001,45.62,-73.13,75000,2001-05-03,2001-10-04,5.9,6.9,2.8,790.8,95.8,Loam,21.4,40,Richelieu,none,MAP OM,0,20,NA,NA,NA,6,6.4,NA,NA,NA,686,689.3,NA,NA,NA,9.5,8.9,NA,NA,NA,58.2,60.2,NA,NA,155,413.39,413.39,0.72789463,300.90436,54,43,26,15,-37.283424,-37.283424,659.13993,659.13993,18.312419,NA,2063.425,41,34,3344.1563,4,4,66.48,66.48,0.61694949,41.014802,10,9,5,2,-47.227183,-47.227183,125.97395,125.97395,15.2025,NA,306.075,7,6,504.50472
112,Grain,2001,45.8,-73,80000,2001-05-06,2001-10-06,6.9,7.4,1.8,424.5,123.3,Sandy loam,13.1,65,Saint-Damase,none,MAP,0,20,NA,NA,NA,12.3,13.1,NA,NA,NA,767,753.5,NA,NA,NA,28.1,27.8,NA,NA,NA,45.8,48.6,NA,NA,154,428.89,428.89,0.74485088,319.4591,56,46,32,15,-33.667613,-33.667613,646.57706,646.57706,17.956981,NA,1995.375,43,37,3248.0523,4,4,72.78,72.78,0.65347126,47.559638,11,10,5,3,-40.767388,-40.767388,122.8715,122.8715,14.366,NA,280.98,8,7,473.77241
113,Grain,2001,45.8,-73,80000,2001-05-06,2001-10-06,6.9,7.4,1.8,424.5,123.3,Sandy loam,13.1,65,Saint-Damase,none,MAP OM,0,20,NA,NA,NA,12.3,12.7,NA,NA,NA,767,754.1,NA,NA,NA,28.1,28.8,NA,NA,NA,45.8,48,NA,NA,154,428.89,428.89,0.74485088,319.4591,56,46,32,15,-33.667613,-33.667613,646.57706,646.57706,17.956981,NA,1995.375,43,37,3248.0523,4,4,72.78,72.78,0.65347126,47.559638,11,10,5,3,-40.767388,-40.767388,122.8715,122.8715,14.366,NA,280.98,8,7,473.77241
114,Grain,2001,45.4,-73.13,80000,2001-05-08,2001-10-06,5.9,7,2.5,784.4,98.4,Clay,60.4,15,Sainte-Rosalie,none,MAP,0,20,NA,NA,NA,8.6,7.8,NA,NA,NA,769.3,769.5,NA,NA,NA,30.2,30,NA,NA,NA,47.8,50.1,NA,NA,152,438.57,438.57,0.79093616,346.88087,70,59,31,15,-27.277165,-27.277165,603.07055,603.07055,15.278651,NA,1563.045,49,49,2607.4675,4,4,57.31,57.31,0.7009286,40.170218,12,10,6,1,-55.585703,-55.585703,129.03503,129.03503,12.073333,NA,212.89,10,8,377.97914
115,Grain,2001,45.4,-73.13,80000,2001-05-08,2001-10-06,5.9,7,2.5,784.4,98.4,Clay,60.4,15,Sainte-Rosalie,none,MAP OM,0,20,NA,NA,NA,8.6,8.2,NA,NA,NA,769.3,769.4,NA,NA,NA,30.2,29.7,NA,NA,NA,47.8,50.2,NA,NA,152,521.91,521.91,0.79537488,415.1141,77,59,31,19,-1.7900918,-1.7900918,531.42296,531.42296,14.041316,NA,1376.375,54,52,2322.1383,5,5,59.97,59.97,0.67349922,40.389748,11,10,5,1,-49.735422,-49.735422,119.30867,119.30867,11.3275,NA,191.92,9,8,339.05088
116,Grain,2001,45.57,-72.92,75000,2001-05-08,2001-10-06,6.8,7.3,2.2,524,119.4,Loam,18.6,45,Saint-Urbain,none,MAP,0,20,NA,NA,NA,12.4,12,NA,NA,NA,758.8,753.8,NA,NA,NA,30.5,30.2,NA,NA,NA,52.5,58.7,NA,NA,152,436.23,436.23,0.73091348,318.84639,54,44,26,18,-31.67016,-31.67016,638.418,638.418,18.273388,NA,2017.555,43,34,3273.5994,4,4,77.65,77.65,0.6607009,51.303425,12,11,4,3,-36.52323,-36.52323,122.32822,122.32822,14.827,NA,294.81,9,6,494.98753
117,Grain,2001,45.57,-72.92,75000,2001-05-08,2001-10-06,6.8,7.3,2.2,524,119.4,Loam,18.6,45,Saint-Urbain,none,MAP OM,0,20,NA,NA,NA,12.4,12.5,NA,NA,NA,758.8,756.1,NA,NA,NA,30.5,32.2,NA,NA,NA,52.5,60.7,NA,NA,152,436.23,436.23,0.73091348,318.84639,54,44,26,18,-31.67016,-31.67016,638.418,638.418,18.273388,NA,2017.555,43,34,3273.5994,4,4,77.65,77.65,0.6607009,51.303425,12,11,4,3,-36.52323,-36.52323,122.32822,122.32822,14.827,NA,294.81,9,6,494.98753
118,Grain,2001,46.97,-70.58,80000,2001-05-18,2001-10-18,5.5,7,3.2,426.2,48.4,Sandy loam,9.7,65,Saint-Epiphane,none,MAP,0,20,NA,NA,NA,9.7,9.8,NA,NA,NA,780.3,780,NA,NA,NA,34.7,34.6,NA,NA,NA,74.7,76,NA,NA,154,537.73,537.73,0.74479792,400.50018,67,57,31,12,-1.149066,-1.149066,543.9807,543.9807,16.566299,NA,1781.38,47,45,2912.6282,5,5,115.82,115.82,0.61223392,70.908932,12,12,8,1,-5.611426,-5.611426,122.70553,122.70553,14.6945,NA,290.835,8,8,475.85267
119,Grain,2001,46.97,-70.58,80000,2001-05-18,2001-10-18,5.5,7,3.2,426.2,48.4,Sandy loam,9.7,65,Saint-Epiphane,none,MAP OM,0,20,NA,NA,NA,9.7,10.1,NA,NA,NA,780.3,782.8,NA,NA,NA,34.7,33.5,NA,NA,NA,74.7,76.6,NA,NA,154,537.73,537.73,0.74479792,400.50018,67,57,31,12,-1.149066,-1.149066,543.9807,543.9807,16.566299,NA,1781.38,47,45,2912.6282,5,5,115.82,115.82,0.61223392,70.908932,12,12,8,1,-5.611426,-5.611426,122.70553,122.70553,14.6945,NA,290.835,8,8,475.85267
