ID,Annee,LongSC,pcpCum,SDI,AWDR,nbPcp1,nbPcp2,nbPcp5,nbPcp10,IhBR,IhKcBR,etpBRcum,etpKcBRcum,tMean,DJCm,DJCb,nb3po3j,nb4po7j,UTMc,cClim,cClimKc,PcpCum_.30,SDI_.30,AWDR_.30,NbPcp1_.30,NbPcp2_.30,NbPcp5_.30,NbPcp10_.30,IhBR_.30,IhKcBR_.30,EtpBRcum_.30,EtpKcBRcum_.30,Tmean_.30,DJCm_.30,DJCb_.30,Nb3po3j_.30,Nb4po7j_.30,UTMc_.30
1,1994,139,532.99,0.80373719,428.38389,72,56,37,18,10.933846,454.66923,480.45752,96.091503,16.161691,NA,1552.02,55,42,2575.2286,5,5,138.5,0.68820967,95.317039,16,13,7,5,4.3778299,4.3778299,132.69101,132.69101,15.664667,NA,319.94,12,8,520.33989
2,1994,162,565.67,0.79868652,451.793,76,61,39,20,11.611608,458.05804,506.82004,101.36401,14.977623,NA,1623.32,56,50,2704.9451,5,5,130.69,0.6808734,88.983345,16,12,6,4,6.2878086,6.2878086,122.9586,122.9586,13.672333,NA,260.17,12,10,431.6528
3,1994,138,408.3,0.75652393,308.88872,60,45,30,12,-22.38715,288.06425,526.07268,105.21454,17.202174,NA,1683.9,43,39,2772.3158,4,4,105.94,0.61583303,65.241351,13,10,6,4,-24.551758,-24.551758,140.41414,140.41414,17.241833,NA,367.255,8,4,588.36849
4,1995,158,443.37,0.69022848,306.0266,51,39,24,14,-27.870176,260.64912,614.68332,122.93666,17.472089,NA,1970.59,41,33,3200.2541,4,4,72.75,0.61571252,44.793086,12,7,5,2,-44.314048,-44.314048,130.64336,130.64336,16.055667,NA,331.67,9,4,556.4381
5,1995,136,364.29,0.71367298,259.98393,48,37,25,12,-35.605925,221.97037,565.71975,113.14395,18.266801,NA,1804.285,38,31,2910.4907,4,4,57.43,0.60035242,34.478239,10,7,5,3,-63.092974,-63.092974,155.60723,155.60723,19.0055,NA,420.165,6,2,671.1461
6,1995,174,673.61,0.74388308,501.08708,65,52,38,24,5.3783524,426.89176,639.22996,127.84599,15.470948,NA,1825.015,53,42,3016.4154,1,1,138.25,0.66260669,91.605375,13,12,6,4,26.582879,26.582879,109.21698,109.21698,12.0505,NA,214.575,10,8,373.91987
7,1995,133,382.43,0.67373781,257.65755,43,32,20,13,-30.244867,248.77567,548.24639,109.64928,18.386316,NA,1780.38,34,28,2874.915,4,4,38.83,0.42461703,16.487879,7,4,2,1,-75.144508,-75.144508,156.22302,156.22302,19.638667,NA,439.16,5,2,700.58958
8,1995,175,502.45,0.73047324,367.02628,64,49,32,16,-24.259561,278.7022,663.38406,132.67681,16.886343,NA,2080.48,55,45,3372.4805,5,5,95.85,0.68367847,65.530581,15,10,7,4,-15.346831,-15.346831,113.22671,113.22671,13.765167,NA,263.325,12,8,443.26121
9,1996,153,455.62,0.77235287,351.89941,64,50,36,16,-23.06332,284.6834,592.20128,118.44026,17.320588,NA,1888.08,45,42,3117.7682,4,4,95.2,0.61111796,58.17843,10,9,7,5,-21.525617,-21.525617,121.31347,121.31347,14.102667,NA,273.765,6,5,459.23892
10,1996,173,573.38,0.75438938,432.55178,73,57,35,20,-2.0678397,389.6608,585.48693,117.09739,16.470694,NA,1993.59,55,49,3304.0339,5,5,101.52,0.57286652,58.157409,10,8,6,4,-9.0297337,-9.0297337,111.5969,111.5969,13.186833,NA,247.03,6,5,414.92902
11,1996,172,638.64,0.77894442,497.46506,83,66,35,20,10.465016,452.32508,578.13779,115.62756,14.844099,NA,1713.935,62,52,2896.04,5,5,106.61,0.60506953,64.506462,11,9,6,5,-4.9186182,-4.9186182,112.125,112.125,11.312333,NA,193.55,7,5,348.14239
12,1996,160,601.89,0.7740838,465.9133,77,61,33,19,4.6907976,423.45399,574.92159,114.98432,15.45825,NA,1687.645,58,48,2853.4331,5,5,100.56,0.573544,57.675585,10,8,5,5,-8.3646198,-8.3646198,109.73927,109.73927,10.9495,NA,182.665,6,5,327.52107
13,1996,171,535.98,0.76082454,407.78674,73,58,32,19,-13.235541,333.8223,617.74142,123.54828,16.233947,NA,1931.37,52,44,3220.5236,1,1,136.19,0.63384256,86.323018,11,10,7,7,51.398271,51.398271,89.954792,89.954792,11.232,NA,190.735,7,4,328.79651
14,1996,159,468.79,0.77249232,362.13668,66,51,37,17,-22.284591,288.57705,603.2137,120.64274,17.024811,NA,1914.975,47,43,3163.3012,4,4,76.3,0.50718374,38.698119,7,6,5,4,-36.115631,-36.115631,119.43454,119.43454,13.191667,NA,246.435,5,3,417.42629
15,1994,148,463.3,0.77284952,358.06118,66,55,27,14,-12.311729,338.44135,528.34888,105.66978,16.831689,NA,1753.375,50,45,2904.6928,4,4,114.94,0.66670368,76.630921,14,12,7,3,-18.071915,-18.071915,140.29377,140.29377,17.434167,NA,373.025,11,7,597.17194
16,1994,160,440.02,0.75100882,330.4589,67,48,29,14,-18.296449,308.51775,538.55677,107.71135,16.677719,NA,1869.3,52,44,3096.7938,4,4,103.01,0.6263876,64.524187,14,10,5,3,-18.706001,-18.706001,126.71292,126.71292,15.3245,NA,309.735,10,6,513.55104
17,1994,169,504.67,0.75765157,382.36402,70,61,26,12,-13.258816,333.70592,581.81129,116.36226,16.215562,NA,1897.475,53,51,3148.515,1,1,132.95,0.60558682,80.512768,14,11,4,3,13.809913,13.809913,116.81759,116.81759,13.464333,NA,253.93,9,7,426.01521
22,1991,139,328.68,0.7535778,247.68595,53,43,23,11,-43.251993,183.74003,579.19215,115.83843,18.442194,NA,1868.825,41,35,3017.8297,4,4,61.27,0.51677626,31.662882,8,8,3,2,-57.043792,-57.043792,142.63363,142.63363,18.494333,NA,404.83,8,4,666.94036
23,1991,134,436.27,0.75002132,327.2118,51,45,28,17,-19.006913,304.96544,538.65091,107.73018,17.861679,NA,1726.14,39,35,2803.2968,4,4,89.53,0.56028413,50.162238,9,7,5,4,-36.37235,-36.37235,140.70927,140.70927,17.9825,NA,389.475,5,5,642.36183
110,2001,155,416.12,0.73095456,304.16481,55,44,26,15,-36.543778,217.28111,655.75918,131.15184,18.281097,NA,2058.57,41,34,3340.2767,4,4,78.91,0.64782074,51.119534,11,10,6,3,-36.689046,-36.689046,124.63878,124.63878,14.892667,NA,296.78,7,6,494.161
111,2001,155,416.12,0.73095456,304.16481,55,44,26,15,-36.543778,217.28111,655.75918,131.15184,18.281097,NA,2058.57,41,34,3340.2767,4,4,78.91,0.64782074,51.119534,11,10,6,3,-36.689046,-36.689046,124.63878,124.63878,14.892667,NA,296.78,7,6,494.161
112,2001,154,434.19,0.74884436,325.14073,57,47,33,15,-32.651814,236.74093,644.69443,128.93889,17.945162,NA,1993.555,44,37,3242.8265,4,4,76.99,0.68009182,52.360269,12,11,5,3,-38.042969,-38.042969,124.26354,124.26354,14.526,NA,285.78,8,6,483.65287
113,2001,154,434.19,0.74884436,325.14073,57,47,33,15,-32.651814,236.74093,644.69443,128.93889,17.945162,NA,1993.555,44,37,3242.8265,4,4,76.99,0.68009182,52.360269,12,11,5,3,-38.042969,-38.042969,124.26354,124.26354,14.526,NA,285.78,8,6,483.65287
114,2001,152,442.45,0.79400573,351.30783,71,60,31,15,-25.825265,270.87367,596.49691,119.29938,15.244638,NA,1557.875,50,50,2592.489,4,4,57.31,0.7009286,40.170218,12,10,6,1,-54.780142,-54.780142,126.73635,126.73635,12.258333,NA,218.44,10,8,382.57529
115,2001,152,531.02,0.79899777,424.2838,78,60,32,19,1.0812443,405.40622,525.33979,105.06796,13.991217,NA,1370.345,55,53,2307.5971,4,4,59.97,0.67349922,40.389748,11,10,5,1,-48.855791,-48.855791,117.25668,117.25668,11.454667,NA,195.735,9,8,341.69534
116,2001,152,440.96,0.73487974,324.05257,55,45,26,18,-30.315793,248.42103,632.79762,126.55952,18.250757,NA,2014.115,44,35,3262.7051,4,4,77.65,0.6607009,51.303425,12,11,4,3,-35.568606,-35.568606,120.51578,120.51578,14.971667,NA,299.15,9,6,501.03576
117,2001,152,440.96,0.73487974,324.05257,55,45,26,18,-30.315793,248.42103,632.79762,126.55952,18.250757,NA,2014.115,44,35,3262.7051,4,4,77.65,0.6607009,51.303425,12,11,4,3,-35.568606,-35.568606,120.51578,120.51578,14.971667,NA,299.15,9,6,501.03576
118,2001,154,537.73,0.74479792,400.50018,67,57,31,12,-0.76015233,396.19924,541.84888,108.36978,16.532857,NA,1776.23,48,46,2904.635,5,5,118.99,0.63204729,75.207307,13,13,8,1,-4.8480926,-4.8480926,125.05267,125.05267,15.017333,NA,300.52,8,8,493.21458
119,2001,154,537.73,0.74479792,400.50018,67,57,31,12,-0.76015233,396.19924,541.84888,108.36978,16.532857,NA,1776.23,48,46,2904.635,5,5,118.99,0.63204729,75.207307,13,13,8,1,-4.8480926,-4.8480926,125.05267,125.05267,15.017333,NA,300.52,8,8,493.21458
120,2001,153,523.59,0.73893495,386.89895,66,52,30,13,-1.3869547,393.06523,530.95409,106.19082,16.572778,NA,1770.635,48,42,2893.4929,5,5,108.86,0.64186629,69.873565,14,13,8,2,-11.617845,-11.617845,123.16966,123.16966,15.147167,NA,304.415,9,9,503.06684
